상태,피그마,key,en,lo,ko,비고
번역 완료,,8-20 characters,8-20 characters,8-20 ຕົວອັກສອນ,,
번역 완료,,Apply,Apply,ສະໝັກ,,
번역 완료,,AT,AT,ໂອໂຕ,,
번역 완료,,"At least 2 types (A-Z, a-z, numbers, symbols)","At least 2 types (A-Z, a-z, numbers, symbols)","ຢ່າງໜ້ອຍ 2 ປະເພດ (A-Z, a-z, ຕົວເລກ, ສັນຍາລັກ)",,
번역 완료,,Back to inspection result,Back to inspection result,ກັບໄປຫາຜົນກວດສອບ,,
번역 완료,,Bad,Bad,ບໍ່ດີ,,
번역 완료,,Black,Black,ດຳ,,
번역 완료,,Brand,Brand,ຍີ່ຫໍ້,,
번역 완료,,Cancel,Cancel,ຍົກເລີກ,,
번역 완료,,Car inspection,Car inspection,ການກວດສອບລົດ,,
번역 완료,,Car segment,Car segment,ກຸ່ມລົດ,,
번역 완료,,Car type,Car type,ກຸ່ມລົດ,,
번역 완료,,Cars require inspection,Cars require inspection,ກວດສອບສະພາບລົດ,,
번역 완료,,Close,Close,ປິດ,,
번역 완료,,Color,Color,ສີ,,
번역 완료,,Complete inspection,Complete inspection,ສໍາເລັດການກວດສອບ,,
번역 완료,,Create a new password,Create a new password,ສ້າງລະຫັດຜ່ານໃໝ່ຂອງທ່ານ,,
번역 완료,,CVT,CVT,CVT,,
번역 완료,,Describe,Describe,ຄໍາອະທິບາຍ,,
번역 완료,,Displacement,Displacement,ຄວາມແຮງຈັກ,,
번역 완료,,Edit,Edit,ແກ້ໄຂ,,
번역 완료,,Email,Email,ອີເມວ,,
번역 완료,,Engine,Engine,ເຄື່ອງຈັກ,,
번역 완료,,Engine number,Engine number,ເລກຈັກ​,,
번역 완료,,Enter the email of the account that you wish to reset the password for. We'll send you a verification code.,Enter the email of the account that you wish to reset the password for. We'll send you a verification code.,ໃສ່ອີເມວທີ່ທ່ານຕ້ອງການຊອກຫາລະຫັດຜ່ານ. ພວກເຮົາຈະສົ່ງລະຫັດໃຫ້ທ່ານເພື່ອຢັ້ງຢືນຕົວຕົນຂອງທ່ານ.,,
번역 완료,,Enter the engine number,Enter the engine number,ໃສ່ເລກຈັກ,,
번역 완료,,Enter the inspection code,Enter the inspection code,ໃສ່ລະຫັດເພື່ອການກວດສອບ,,
